customer_id,age,gender,city,city_tier,kyc_verified,phone_verified,device_type,referral_source,activation_date,credit_limit_vnd,primary_cat_pref,wl_age_days,first_trx_date,last_trx_date,recency_days,total_trx_count,total_amount_vnd,avg_amount_vnd,max_amount_vnd,outstanding_balance_vnd,utilization_ratio,tenure_days,avg_inter_days,months_active,max_consecutive_months,spending_velocity_ratio,r90_count,r90_amount,unique_categories,top_category,late_count,partial_count,ontime_count,late_rate,promo_count,promo_rate,suspicious_count,lifecycle_segment,churn_30d,churn_60d,churn_90d,churn_label
ZLP000001,30.0,Male,Hà Nội,1,0,1,Android,Campaign,2023-12-18,1000000,Thực phẩm & Ăn uống,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000002,27.0,Male,Hà Nội,1,1,1,iOS,Organic,2023-11-02,1000000,Chăm sóc sức khỏe,66.0,2024-01-07 22:06:50,2024-12-02 09:35:48,28.0,11.0,3964000.0,360363.63636363635,532000.0,202000.0,0.3303,329.0,29.9,9.0,3.0,0.665,2.0,636000.0,1.0,Chăm sóc sức khỏe,1.0,1.0,9.0,0.0909,2.0,0.1818,0.0,RPU_Mid,0,0,0,0
ZLP000003,31.0,Female,Bình Dương,3,1,1,Android,Campaign,2024-05-30,2000000,Thời trang,5.0,2024-06-04 11:26:30,2024-11-24 18:12:43,36.0,4.0,2767000.0,691750.0,843000.0,0.0,0.1153,173.0,43.2,4.0,3.0,0.481,1.0,777000.0,2.0,Thời trang,0.0,1.0,3.0,0.0,0.0,0.0,0.0,RPU_Early,1,0,0,0
ZLP000004,37.0,Male,Hà Nội,1,0,1,Android,Referral,2024-07-29,2000000,Điện tử,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000005,26.0,Female,Hồ Chí Minh,1,1,1,iOS,Organic,2023-12-02,2000000,Điện tử,36.0,2024-01-07 08:53:14,2024-11-03 21:16:24,57.0,6.0,12592000.0,2098666.6666666665,2982000.0,0.0,0.5247,301.0,50.2,5.0,1.0,0.557,1.0,1996000.0,2.0,Điện tử,1.0,0.0,5.0,0.1667,1.0,0.1667,0.0,RPU_Mid,1,0,0,0
ZLP000006,26.0,Female,Hà Nội,1,1,1,iOS,Referral,2023-07-05,500000,Du lịch & Vận chuyển,186.0,2024-01-07 15:27:13,2024-12-29 22:27:54,1.0,7.0,5008000.0,715428.5714285715,1435000.0,728000.0,0.8347,357.0,51.0,6.0,3.0,1.133,2.0,1265000.0,1.0,Du lịch & Vận chuyển,0.0,1.0,6.0,0.0,1.0,0.1429,0.0,RPU_Mid,0,0,0,0
ZLP000007,37.0,Female,Bình Dương,3,1,1,iOS,Unknown,2023-11-02,5000000,Chăm sóc sức khỏe,61.0,2024-01-02 10:45:38,2024-12-19 13:43:15,11.0,10.0,4374000.0,437400.0,675000.0,394000.0,0.0729,352.0,35.2,10.0,6.0,1.173,3.0,1561000.0,1.0,Chăm sóc sức khỏe,1.0,0.0,9.0,0.1,3.0,0.3,0.0,RPU_Mid,0,0,0,0
ZLP000008,32.0,Female,Hà Nội,1,0,1,Android,Campaign,2023-07-05,3000000,Du lịch & Vận chuyển,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000009,25.0,Female,Hồ Chí Minh,2,1,1,Android,Organic,2023-12-02,5000000,Thực phẩm & Ăn uống,31.0,2024-01-02 10:22:56,2024-12-18 07:56:03,12.0,19.0,3472000.0,182736.84210526315,358000.0,277000.0,0.0579,350.0,18.4,12.0,12.0,0.819,4.0,726000.0,4.0,Thực phẩm & Ăn uống,1.0,2.0,16.0,0.0526,4.0,0.2105,0.0,RPU_Loyal,0,0,0,0
ZLP000010,31.0,Female,Cần Thơ,2,1,1,iOS,Referral,2024-01-31,1000000,Viễn thông,2.0,2024-02-02 12:59:14,2024-03-10 17:49:26,295.0,2.0,530000.0,265000.0,324000.0,0.0,0.0442,37.0,18.5,2.0,2.0,0.0,0.0,0.0,1.0,Viễn thông,0.0,0.0,2.0,0.0,0.0,0.0,0.0,RPU_Early,1,1,1,1
ZLP000011,25.0,Female,Bình Dương,3,1,1,Android,Organic,2024-11-26,2000000,Viễn thông,3.0,2024-11-29 20:27:49,2024-12-20 19:47:33,10.0,2.0,349000.0,174500.0,249000.0,249000.0,0.0145,20.0,10.0,2.0,2.0,0.222,2.0,349000.0,1.0,Viễn thông,0.0,0.0,2.0,0.0,0.0,0.0,0.0,RPU_Early,0,0,0,0
ZLP000012,25.0,Male,An Giang,3,1,1,iOS,Organic,2023-12-18,1000000,Chăm sóc sức khỏe,18.0,2024-01-05 13:26:35,2024-11-22 08:34:32,38.0,11.0,4157000.0,377909.0909090909,526000.0,0.0,0.3464,321.0,29.2,9.0,4.0,0.973,3.0,1427000.0,3.0,Chăm sóc sức khỏe,0.0,1.0,10.0,0.0,3.0,0.2727,0.0,RPU_Mid,1,0,0,0
ZLP000013,29.0,Male,Hà Nội,1,1,1,iOS,Organic,2023-11-02,3000000,Chăm sóc sức khỏe,63.0,2024-01-04 13:03:28,2024-03-07 12:39:31,298.0,3.0,1183000.0,394333.3333333333,476000.0,0.0,0.0329,62.0,20.7,3.0,3.0,0.0,0.0,0.0,1.0,Chăm sóc sức khỏe,0.0,1.0,2.0,0.0,1.0,0.3333,0.0,RPU_Early,1,1,1,1
ZLP000014,18.0,Male,Hồ Chí Minh,1,0,1,Android,Organic,2023-10-03,1000000,Điện tử,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
