customer_id,activation_date,age,gender,city,city_tier,kyc_verified,phone_verified,credit_limit_vnd,primary_cat_pref,referral_source,device_type
ZLP000001,2023-12-18,30.0,Male,Hà Nội,1,0,1,1000000,Thực phẩm & Ăn uống,Campaign,Android
ZLP000002,2023-11-02,27.0,Male,Hà Nội,1,1,1,1000000,Chăm sóc sức khỏe,Organic,iOS
ZLP000003,2024-05-30,31.0,Female,Bình Dương,3,1,1,2000000,Thời trang,Campaign,Android
ZLP000004,2024-07-29,37.0,Male,Hà Nội,1,0,1,2000000,Điện tử,Referral,Android
ZLP000005,2023-12-02,26.0,Female,Hồ Chí Minh,1,1,1,2000000,Điện tử,Organic,iOS
ZLP000006,2023-07-05,26.0,Female,Hà Nội,1,1,1,500000,Du lịch & Vận chuyển,Referral,iOS
ZLP000007,2023-11-02,37.0,Female,Bình Dương,3,1,1,5000000,Chăm sóc sức khỏe,Unknown,iOS
ZLP000008,2023-07-05,32.0,Female,Hà Nội,1,0,1,3000000,Du lịch & Vận chuyển,Campaign,Android
ZLP000009,2023-12-02,25.0,Female,Hồ Chí Minh,2,1,1,5000000,Thực phẩm & Ăn uống,Organic,Android
ZLP000010,2024-01-31,31.0,Female,Cần Thơ,2,1,1,1000000,Viễn thông,Referral,iOS
ZLP000011,2024-11-26,25.0,Female,Bình Dương,3,1,1,2000000,Viễn thông,Organic,Android
ZLP000012,2023-12-18,25.0,Male,An Giang,3,1,1,1000000,Chăm sóc sức khỏe,Organic,iOS
ZLP000013,2023-11-02,29.0,Male,Hà Nội,1,1,1,3000000,Chăm sóc sức khỏe,Organic,iOS
ZLP000014,2023-10-03,18.0,Male,Hồ Chí Minh,1,0,1,1000000,Điện tử,Organic,Android
ZLP000015,2023-10-03,18.0,Female,Hà Nội,1,1,1,1000000,Điện & Nước,Social,Android
ZLP000016,2023-10-03,24.0,Male,Hà Nội,1,1,1,2000000,Viễn thông,Unknown,Android
ZLP000017,2024-05-30,21.0,Male,Bình Dương,3,1,1,2000000,Điện tử,Campaign,iOS
ZLP000018,2023-04-06,29.0,Male,Hồ Chí Minh,1,1,0,2000000,Viễn thông,Social,Android
ZLP000019,2024-11-26,22.0,Female,Hà Nội,1,1,1,1000000,Thời trang,Referral,iOS
ZLP000020,2024-01-15,19.0,Female,Đồng Nai,3,1,1,2000000,Thời trang,Campaign,iOS
ZLP000021,2024-01-31,36.0,Female,Cần Thơ,2,1,1,5000000,Viễn thông,Organic,Android
ZLP000022,2023-12-18,26.0,Female,Bình Dương,3,1,1,3000000,Du lịch & Vận chuyển,Referral,Android
ZLP000023,2024-04-30,28.0,Female,Đồng Nai,3,0,1,2000000,Viễn thông,Unknown,iOS
ZLP000024,2024-01-01,19.0,Male,Đồng Nai,3,1,1,2000000,Du lịch & Vận chuyển,Campaign,Android
ZLP000025,2023-12-02,24.0,Female,Bình Dương,3,1,0,1000000,Thời trang,Organic,Android
ZLP000026,2023-11-02,28.0,Male,Hà Nội,1,0,0,1000000,Điện & Nước,Organic,iOS
ZLP000027,2024-09-27,21.0,Male,Hồ Chí Minh,3,1,1,1000000,Chăm sóc sức khỏe,Referral,iOS
ZLP000028,2023-12-02,30.0,Male,Đà Nẵng,2,1,1,2000000,Chăm sóc sức khỏe,Organic,Android
ZLP000029,2024-01-01,24.0,Female,Hồ Chí Minh,1,1,1,3000000,Chăm sóc sức khỏe,Campaign,iOS
ZLP000030,2023-12-02,26.0,Male,Hà Nội,1,1,0,2000000,Thời trang,Organic,Android
ZLP000031,2023-07-05,24.0,Female,Bình Dương,3,1,1,1000000,Điện tử,Referral,iOS
ZLP000032,2023-10-03,39.0,Male,An Giang,3,1,1,2000000,Du lịch & Vận chuyển,Campaign,iOS
ZLP000033,2023-10-03,27.0,Female,Hồ Chí Minh,1,1,1,1000000,Điện & Nước,Referral,Android
ZLP000034,2024-04-30,21.0,Male,Hồ Chí Minh,1,1,1,3000000,Điện & Nước,Organic,iOS
ZLP000035,2023-12-18,32.0,Male,Hải Phòng,2,1,1,1000000,Điện & Nước,Organic,iOS
ZLP000036,2024-05-30,20.0,Male,Hồ Chí Minh,3,1,1,2000000,Du lịch & Vận chuyển,Organic,Android
ZLP000037,2024-04-30,29.0,Female,Hồ Chí Minh,1,1,1,2000000,Thời trang,Unknown,Android
ZLP000038,2023-10-03,18.0,Male,Hà Nội,1,0,1,1000000,Điện & Nước,Organic,iOS
ZLP000039,2024-01-31,20.0,Female,Cần Thơ,2,1,1,500000,Điện & Nước,Referral,Android
ZLP000040,2024-05-30,29.0,Female,Hà Nội,1,1,1,2000000,Thực phẩm & Ăn uống,Organic,Android
ZLP000041,2024-03-31,32.0,Female,Hải Phòng,2,1,1,500000,Chăm sóc sức khỏe,Unknown,Android
ZLP000042,2024-03-01,29.0,Female,Hồ Chí Minh,1,1,1,2000000,Chăm sóc sức khỏe,Campaign,Android
ZLP000043,2024-05-30,27.0,Male,Hồ Chí Minh,1,1,1,3000000,Chăm sóc sức khỏe,Organic,Android
ZLP000044,2023-04-06,26.0,Male,Hồ Chí Minh,1,1,1,1000000,Điện tử,Organic,iOS
ZLP000045,2024-04-30,19.0,Female,Hà Nội,1,1,1,2000000,Điện & Nước,Campaign,iOS
ZLP000046,2023-11-02,23.0,Female,Hồ Chí Minh,1,0,1,5000000,Điện tử,Social,Android
ZLP000047,2024-01-31,25.0,Female,Hồ Chí Minh,1,1,1,2000000,Thực phẩm & Ăn uống,Unknown,Android
ZLP000048,2023-11-02,34.0,Female,Bình Dương,3,1,1,5000000,Điện tử,Social,iOS
