customer_id,recency_days,tenure_days,freq_total,freq_30d,freq_90d,freq_180d,monetary_90d,monetary_total,aov,amount_std,unique_categories,txn_per_month,mean_inter_days,top_category,late_rate,partial_rate,promo_rate,suspicious_count,age,gender,city_tier,kyc_verified,phone_verified,device_type,referral_source,credit_limit_vnd,account_age_days,churn
ZLP000002,30,297,9,0.0,2.0,6.0,1020000.0,3328000.0,369777.77777777775,144970.49508242856,1,0.9090909090909091,32.875,Chăm sóc sức khỏe,0.0,0.1111111111111111,0.2222222222222222,0,27.0,Male,1,1,1,iOS,Organic,1000000,364,0
ZLP000003,83,148,3,0.0,1.0,3.0,798000.0,1990000.0,663333.3333333334,273148.92153060634,2,0.6081081081081081,32.0,Thời trang,0.0,0.3333333333333333,0.0,0,31.0,Female,3,1,1,Android,Campaign,2000000,154,0
ZLP000005,47,297,5,0.0,1.0,2.0,2710000.0,10596000.0,2119200.0,810203.4929571706,2,0.5050505050505051,62.25,Điện tử,0.2,0.0,0.0,0,26.0,Female,1,1,1,iOS,Organic,2000000,334,0
ZLP000006,5,297,6,1.0,3.0,5.0,2624000.0,4280000.0,713333.3333333334,387060.02979727404,1,0.6060606060606061,57.8,Du lịch & Vận chuyển,0.0,0.16666666666666666,0.16666666666666666,0,26.0,Female,1,1,1,iOS,Referral,500000,484,0
ZLP000007,24,302,8,1.0,2.0,5.0,1250000.0,3488000.0,436000.0,164317.63665013478,1,0.794701986754967,39.0,Chăm sóc sức khỏe,0.125,0.0,0.25,0,37.0,Female,3,1,1,iOS,Unknown,5000000,364,0
ZLP000009,3,302,17,2.0,6.0,11.0,1143000.0,3016000.0,177411.76470588235,128251.24698396183,3,1.6887417218543046,18.25,Thực phẩm & Ăn uống,0.058823529411764705,0.0,0.23529411764705882,0,25.0,Female,2,1,1,Android,Organic,5000000,334,0
ZLP000010,234,271,2,0.0,0.0,0.0,0.0,530000.0,265000.0,83438.60018001261,1,0.22140221402214022,37.0,Viễn thông,0.0,0.0,0.0,0,31.0,Female,2,1,1,iOS,Referral,1000000,274,1
ZLP000012,26,299,9,1.0,2.0,6.0,965000.0,3230000.0,358888.8888888889,105799.86347397199,3,0.903010033444816,33.625,Chăm sóc sức khỏe,0.0,0.1111111111111111,0.2222222222222222,0,25.0,Male,3,1,1,iOS,Organic,1000000,318,0
ZLP000013,237,300,3,0.0,0.0,0.0,0.0,1183000.0,394333.3333333333,71360.58669415026,1,0.3,31.0,Chăm sóc sức khỏe,0.0,0.3333333333333333,0.3333333333333333,0,29.0,Male,1,1,1,iOS,Organic,3000000,364,1
ZLP000015,7,300,11,1.0,3.0,6.0,779000.0,2827000.0,257000.0,92334.17568809503,1,1.1,28.8,Điện & Nước,0.18181818181818182,0.0,0.09090909090909091,0,18.0,Female,1,1,1,Android,Social,1000000,394,0
ZLP000016,16,300,11,1.0,3.0,7.0,679000.0,2075000.0,188636.36363636365,56050.46427510253,4,1.1,28.0,Viễn thông,0.09090909090909091,0.09090909090909091,0.2727272727272727,0,24.0,Male,1,1,1,Android,Unknown,2000000,394,0
