transaction_id,customer_id,transaction_date,payment_category,payment_mode,amount_vnd,repayment_status,promo_applied,is_suspicious_flag,ym,has_suspicious
TRX00000001,ZLP000002,2024-01-07 22:06:50,Chăm sóc sức khỏe,ZaloPay Balance,392000.0,OnTime,No Promo,0,2024-01,0
TRX00000002,ZLP000002,2024-02-11 23:26:01,Chăm sóc sức khỏe,ZaloPay Balance,153000.0,OnTime,No Promo,0,2024-02,0
TRX00000003,ZLP000002,2024-03-20 19:27:27,Chăm sóc sức khỏe,ZaloPay Balance,472000.0,OnTime,No Promo,0,2024-03,0
TRX00000004,ZLP000002,2024-05-05 09:49:56,Chăm sóc sức khỏe,Auto-debit,208000.0,OnTime,No Promo,0,2024-05,0
TRX00000005,ZLP000002,2024-05-30 12:35:00,Chăm sóc sức khỏe,Manual,532000.0,OnTime,Cashback,0,2024-05,0
TRX00000006,ZLP000002,2024-06-30 14:37:54,Chăm sóc sức khỏe,Bank Transfer,262000.0,OnTime,No Promo,0,2024-06,0
TRX00000007,ZLP000002,2024-07-30 22:58:39,Chăm sóc sức khỏe,Manual,289000.0,Partial,No Promo,0,2024-07,0
TRX00000008,ZLP000002,2024-09-05 19:43:18,Chăm sóc sức khỏe,ZaloPay Balance,521000.0,OnTime,Cashback,0,2024-09,0
TRX00000009,ZLP000002,2024-09-30 11:28:37,Chăm sóc sức khỏe,ZaloPay Balance,499000.0,OnTime,No Promo,0,2024-09,0
TRX00000010,ZLP000002,2024-11-10 17:43:45,Chăm sóc sức khỏe,Auto-debit,434000.0,Late,No Promo,0,2024-11,0
TRX00000011,ZLP000002,2024-12-02 09:35:48,Chăm sóc sức khỏe,Bank Transfer,202000.0,OnTime,No Promo,0,2024-12,0
TRX00000012,ZLP000003,2024-06-04 11:26:30,Thời trang,ZaloPay Balance,349000.0,Partial,No Promo,0,2024-06,0
TRX00000013,ZLP000003,2024-07-19 17:37:33,Thời trang,Bank Transfer,843000.0,OnTime,No Promo,0,2024-07,0
TRX00000014,ZLP000003,2024-08-08 12:58:54,Du lịch & Vận chuyển,Manual,798000.0,OnTime,No Promo,0,2024-08,0
