cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2024-01,100.0,67.0,74.7,74.3,73.9,69.2,69.5,71.6,68.1,69.5,65.8,66.1
2024-02,100.0,72.2,73.1,74.1,71.2,73.1,70.9,65.8,70.3,62.7,66.5,
2024-03,100.0,69.0,74.9,74.4,74.7,74.4,75.2,72.7,73.7,70.5,,
2024-04,100.0,72.3,78.6,78.1,72.3,74.6,73.8,71.6,71.3,,,
2024-05,100.0,65.0,75.2,73.0,70.8,72.3,71.8,66.9,,,,
2024-06,100.0,66.8,67.6,67.3,70.5,67.9,65.6,,,,,
2024-07,100.0,68.4,74.5,73.2,73.4,68.4,,,,,,
2024-08,100.0,58.5,72.3,71.4,67.6,,,,,,,
2024-09,100.0,53.8,70.8,67.4,,,,,,,,
2024-10,100.0,66.1,62.7,,,,,,,,,
2024-11,100.0,43.1,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,
